"","labID","genos","missing"
"1","z0011944",328,40
"2","z0016578",286,82
"3","z0018264",329,39
"4","z0029829",300,68
"5","z0029831",98,270
"6","z0029833",332,36
"7","z0029846",1,367
"8","z0029846b",127,241
"9","z0029863",203,165
"10","z0029864",277,91
"11","z0037611",139,229
"12","z0037624",228,140
"13","z0040334",324,44
"14","z0040345",282,86
"15","z0040345b",323,45
"16","z0040363",292,76
"17","z0045329",333,35
"18","z0045331",309,59
"19","z0045332",322,46
"20","z0045333",263,105
"21","z0045337",321,47
"22","z0045342",304,64
"23","z0045350",328,40
"24","z0045350b",328,40
"25","z0045357",330,38
"26","z0045358",321,47
"27","z0045401",17,351
"28","z0045792",49,319
"29","z0051185",322,46
"30","z0051324",86,282
"31","z0051324b",143,225
"32","z0051326",268,100
"33","z0051328",67,301
"34","z0051380",108,260
"35","z0051402b",335,33
"36","z0051404",316,52
"37","z0051405",3,365
"38","z0051891",324,44
"39","z0051893",323,45
"40","z0051898",327,41
"41","z0051899",320,48
"42","z0051929",183,185
"43","z0051945",1,367
"44","z0051947",324,44
"45","z0051968",321,47
"46","z0053055",54,314
"47","z0053754",326,42
"48","z0053756",15,353
"49","z0053757b",210,158
"50","z0053758",274,94
"51","z0053759",328,40
"52","z0053760",142,226
"53","z0053842",68,300
"54","z0053843",319,49
"55","z0053844",303,65
"56","z0053845",50,318
"57","z0053846",1,367
"58","z0053847",325,43
"59","z0053849",324,44
"60","z0056374",214,154
"61","z0056375",326,42
"62","z0056377",327,41
"63","z0056378",321,47
"64","z0056378b",319,49
"65","z0056380",3,365
"66","z0056382",321,47
"67","z0056384",326,42
"68","z0056386",306,62
"69","z0056389",181,187
"70","z0056391",329,39
"71","z0056392",286,82
"72","z0056393",315,53
"73","z0056394",327,41
"74","z0056395",295,73
"75","z0056396",1,367
"76","z0056397",330,38
"77","z0056399",323,45
"78","z0061976",2,366
"79","z0061980",325,43
"80","z0066792",1,367
"81","z0066792b",328,40
"82","z0107055",330,38
"83","z0107073",331,37
"84","z0107078",142,226
"85","z0107080",319,49
"86","z0107101",318,50
"87","z0108480",324,44
"88","z0108489",277,91
"89","z0108508",307,61
"90","z0108508b",325,43
"91","z0108513",14,354
"92","z0133302",298,70
"93","z0173485",323,45
"94","z0175377",325,43
"95","z0175912",39,329
"96","z0175915",197,171
"97","z0175916",214,154
"98","z0175927",233,135
"99","z0175928",326,42
"100","z0175937",316,52
"101","z0175937b",325,43
"102","z0178294",1,367
"103","z0178296",1,367
"104","z0178348",309,59
"105","z0187811",15,353
"106","z0187842",327,41
"107","z0187846",1,367
"108","z0187857",1,367
"109","z0187859",223,145
"110","z0187860",329,39
"111","z0187860b",331,37
"112","z0187868",57,311
"113","z0187868b",291,77
"114","z0187906",309,59
"115","z0187911",1,367
"116","z0195258",65,303
"117","z0195643",40,328
"118","z0195644",321,47
"119","z0195645",1,367
"120","z0195647",1,367
"121","z0195648",6,362
"122","z0195650",142,226
"123","z0195651",223,145
"124","z0195653",1,367
"125","z0195653b",39,329
"126","z0195657",58,310
"127","z0195659",53,315
"128","z0195664",1,367
"129","z0195665",1,367
"130","z0195667",186,182
"131","z0195668",86,282
"132","z0195669",1,367
"133","z0195670",1,367
"134","z0195671",1,367
"135","z0195672",1,367
"136","z0195673",49,319
"137","z0195674",1,367
"138","z0195675",3,365
"139","z0195677",189,179
"140","z0195678",1,367
"141","z0195679",1,367
"142","z0195681",1,367
"143","z0195682",1,367
"144","z0195684",2,366
"145","z0195689",127,241
"146","z0195693",1,367
"147","z0195697",305,63
"148","z0195700",322,46
"149","z0195703",323,45
"150","z0195706",328,40
"151","z0195707",328,40
"152","z0195708",329,39
"153","z0195709",330,38
"154","z0195710",328,40
"155","z0195712",328,40
"156","z0195713",334,34
"157","z0195713b",330,38
"158","z0195714",327,41
"159","z0195715",325,43
"160","z0195717",328,40
"161","z0195720",322,46
"162","z0195721",5,363
"163","z0195722",326,42
"164","z0195726",283,85
"165","z0195727",317,51
"166","z0195729",315,53
"167","z0195730",324,44
"168","z0195733",330,38
"169","z0195735",332,36
"170","z0195736",138,230
"171","z0195738",329,39
"172","z0195739",322,46
"173","z0195741",326,42
"174","z0195742",335,33
"175","z0195742b",331,37
"176","z0195743",326,42
"177","z0195748",330,38
"178","z0195750",1,367
"179","z0195755",1,367
"180","z0195756",1,367
"181","z0195757",1,367
"182","z0195759",14,354
"183","z0195769b",1,367
"184","z0195770",1,367
"185","z0195771",57,311
"186","z0195772",79,289
"187","z0195773",28,340
"188","z0195775",1,367
"189","z0195776",10,358
"190","z0195777",5,363
"191","z0195778",1,367
"192","z0195779b",1,367
"193","z0195780",7,361
"194","z0195781",26,342
"195","z0195782",148,220
"196","z0195786",1,367
"197","z0195787",10,358
"198","z0196707",331,37
"199","z0196708",307,61
"200","z0196709",322,46
"201","z0196714",329,39
"202","z0196718",326,42
"203","z0196721",316,52
"204","z0196722",326,42
"205","z0196723",207,161
"206","z0196726",323,45
"207","z0196727",325,43
"208","z0196728",325,43
"209","z0196728b",318,50
"210","z0196730",317,51
"211","z0196732",321,47
"212","z0196733",243,125
"213","z0196736",325,43
"214","z0196736b",324,44
"215","z0196737",316,52
"216","z0196738",269,99
"217","z0196741",291,77
"218","z0196742",331,37
"219","z0196743",324,44
"220","z0196744",321,47
"221","z0196746",323,45
"222","z0196747",323,45
"223","z0196748",321,47
"224","z0196749",328,40
"225","z0196750",318,50
"226","z0196753",320,48
"227","z0196755",297,71
"228","z0196755b",317,51
"229","z0196756",328,40
"230","z0196757",329,39
"231","z0196758",325,43
"232","z0196759",318,50
"233","z0196760",326,42
"234","z0196761",323,45
"235","z0196762",304,64
"236","z0196762b",319,49
"237","z0196765",326,42
"238","z0196767",325,43
"239","z0196768",322,46
"240","z0196770",306,62
"241","z0196772",325,43
"242","z0196773",319,49
"243","z0196775",326,42
"244","z0196777",325,43
"245","z0196778",323,45
"246","z0196781",325,43
"247","z0196783",330,38
"248","z0196792",2,366
"249","z0196793",299,69
"250","z0196794",323,45
"251","z0196795",300,68
"252","z0196800",278,90
"253","z0196804",305,63
"254","z0196806",223,145
"255","z0196810",1,367
"256","z0196811",80,288
"257","z0196812",201,167
"258","z0196822",329,39
"259","z0196823",326,42
"260","z0196826",327,41
"261","z0196830",271,97
"262","z0196831",322,46
"263","z0196832",288,80
"264","z0196833",306,62
"265","z0196833b",328,40
"266","z0196838",11,357
"267","z0196840",1,367
"268","z0196842",224,144
"269","z0196844",8,360
"270","z0196845",87,281
"271","z0196847",49,319
"272","z0196848",327,41
"273","z0196850",1,367
"274","z0196851",7,361
"275","z0196854",325,43
"276","z0196854b",329,39
"277","z0196858",249,119
"278","z0196859",330,38
"279","z0196860",328,40
"280","z0196861",325,43
"281","z0196862",327,41
"282","z0196863",326,42
"283","z0196865",324,44
"284","z0196886",299,69
"285","z0196887",89,279
"286","z0196888",10,358
"287","z0196889",1,367
"288","z0196891",73,295
"289","z0196892",102,266
"290","z0197658",120,248
"291","z0197658b",318,50
"292","z0197659",299,69
"293","z0197660",189,179
"294","z0197662",303,65
"295","z0197664",2,366
"296","z0197665",324,44
"297","z0197671",1,367
"298","z0197671b",300,68
"299","z0197673",313,55
"300","z0197679",329,39
